Ville,Évènements,Date,Victimes,Capture,Comment
Odesa,Bombardement,"23,04,2022",18,,
Mariupol,Combats,"23,04,2022",,,
Kharkiv,Artillerie russe,"23,04,2022",2,,
Oleksandrivka,combats,"23,04,2022",,,
Chornobayivka,Artillerie Ukrainienne,"23,04,2022",3,,
Lyman,Artillerie russe,"23,04,2022",,,
Popasna,Artillerie russe,"23,04,2022",,,
Avdiyivka,Artillerie russe,"23,04,2022",,,
Petrivs'ke,combats,"23,04,2022",,,
Zolote,Artillerie russe,"23,04,2022",6,,
Yats'kivka ,combats,"23,04,2022",,,
Zarichne,combats,"23,04,2022",,,
Derhachi,Artillerie russe,"23,04,2022",3,,
Sen’kivka,Artillerie russe,"23,04,2022",0,,
Prudyanka,combats,"23,04,2022",,Ukraine,
Mariupol,Artillerie russe,"23,04,2022",,,
Odesa,Bombardement,"23,04,2022",,,
Hurlivka,Artillerie russe,"23,04,2022",,,
Vynohradne,Fosse commune,"23,04,2022",,,
Zelenyi Hai,Combats,"23,04,2022",,,
Barvinok,Combats,"23,04,2022",,Ukraine,
Kyselivka,Combats,"23,04,2022",,Ukraine,
Velikaya Novoselka,Combats,"23,04,2022",,Russie,
Korotychi,Artillerie russe,"23,04,2022",,,
Kurulka,Artillerie russe,"23,04,2022",,,
Husarivka,Artillerie russe,"23,04,2022",,,
Barvinkove,Combats,"23,04,2022",,,
Popasna,Combats,"23,04,2022",,,
Rubizhne,Combats,"23,04,2022",,,
Marinka,Artillerie russe,"23,04,2022",,,
Malynivka,Aéronef abattu,"21,04,2022",,,
Atynske,Artillerie russe,"23,04,2022",,,
Pavlohrad,Bombardement,"23,04,2022",,,
Posad-Pokrovs'ke,Artillerie Ukrainienne,"23,04,2022",,,
Avdiyivka,Artillerie russe,"24,04,2022",,,
Mariupol,Artillerie russe,"24,04,2022",,,
Novosibirsk,Dissidence,"23,04,2022",,,
Mariupol,Combats,"24,04,2022",,,
Ocheretyne,Artillerie russe,"24,04,2022",2,,
Popasna,Combats,"24,04,2022",,,
Chuhuiv,Artillerie russe,"24,04,2022",,,
Kalynove,Artillerie russe,"24,04,2022",1,,
Borivske,Combats,"24,04,2022",,,
Zarichne,Combats,"24,04,2022",,Russie,
Yampil,Combats,"24,04,2022",,,
Gomel,Mouvement de troupes,"24,04,2022",,,
Rubizhne,Combats,"24,04,2022",,Ukraine,
Marinka,Combats,"24,04,2022",,Ukraine,
Pashovke,Combats,"24,04,2022",,Ukraine,
Dovgenke,Combats,"24,04,2022",,Ukraine,
Velyka Komyshuvakha,Combats,"24,04,2022",,Ukraine,
Yats'kivka ,Combats,"24,04,2022",,Ukraine,
Orikhove,Combats,"24,04,2022",,Ukraine,
Nyzhne,Combats,"24,04,2022",,Ukraine,
Novomykhailivka,Combats,"24,04,2022",,Ukraine,
Marinka,Combats,"24,04,2022",,Ukraine,
Vremivka,Combats,"24,04,2022",,Ukraine,
Molodets’ke,Mouvement de troupes,"24,04,2022",,Russie,
Kremenchuk,Bombardement,"24,04,2022",,,
Lozove,combats,"24,04,2022",,Russie,
Novotoshikivs’ke,Combats,"25,04,2022",,Russie,
Orikhove,Combats,"25,04,2022",,Russie,
Nyzhne,Combats,"25,04,2022",,Russie,
Kurulka,Combats,"25,04,2022",,Russie,
Koroviy Yar,Combats,"25,04,2022",,Ukraine,
Rubizhne,Combats,"25,04,2022",,Ukraine,
Mariupol,Combats,"25,04,2022",,,
Zhmerynka,Bombardement,"25,04,2022",,,
Kozyatyn,Bombardement,"25,04,2022",,,
Blahodatne,Combats,"25,04,2022",,Ukraine,
Kyselivka,Combats,"25,04,2022",,Ukraine,
Klapaya,Combats,"25,04,2022",,Ukraine,
Krasne,Bombardement,"25,04,2022",,,
Borovskoye,Aéronef abattu,"25,04,2022",,,
Kletnya,Incident,"25,04,2022",,,
Bryansk,Incident,"25,04,2022",,,
Balakliya,Aéronef abattu,"25,04,2022",,,
Vovchansk,Crime de guerre,"25,04,2022",,,
Yats'kivka ,Combats,"25,04,2022",,,
Zarichne,Combats,"25,04,2022",,,
kreminna,Mouvement de troupes,"25,04,2022",,,
Bryansk,Mouvement de troupes,"25,04,2022",,,
Stary Krym,Fosse commune,"25,04,2022",,,
Bilopillia,Artillerie russe,"25,04,2022",0,,
Simferopol,Mouvement de troupes,"25,04,2022",,,
Lyman,Artillerie russe,"25,04,2022",,,
Odesa,Bombardement,"25,04,2022",0,,
Kharkiv,Artillerie russe,"25,04,2022",4,,
Makiivka,Passage aérien,"25,04,2022",,,
Rostov,Passage aérien,"25,04,2022",,,
Dibrovne,Combats,"25,04,2022",,Russie,
Zavody,Combats,"26,04,2022",,Ukraine,
Popasna,Combats,"26,04,2022",,,
Rubizhne,Combats,"26,04,2022",,,
Avdiyivka,Combats,"26,04,2022",,,
Trudolyubivka,Combats,"26,04,2022",,,
Novomykhailivka,Combats,"26,04,2022",,,
Marinka,Combats,"26,04,2022",,,
Mariupol,Combats,"26,04,2022",,,
Snihuvira,Combats,"26,04,2022",,,
Krymky,Combats,"26,04,2022",,,
Dibrovne,Combats,"26,04,2022",,,
