Ville,contrôle
Izyum,Russie
Mariupol,Contestée
Rubizhne,Russie (non vérifié)
Severodonetsk,Contestée
Popasna,Contestée
Sloviansk,Ukraine
Kramatorsk,Ukraine
Bakhmut,Ukraine
Donetsk,Russie
Orlove,Ukraine
Mala Shesternia,Ukraine
Novorontsovka,Ukraine
Bereznehuvate,Russie (non vérifié)
Chornobaivka,Russie
Kherson,Russie
Nova Kakhovka,Russie
Kharkiv,Ukraine
Chuhuiv,Ukraine
Mykolaïv,Ukraine
Odessa,Ukraine
Dnipro,Ukraine
Zaporizhia,Ukraine
Enerhodar,Russie
Melitopol,Russie
Berdyansk,Russie
Lyman,Ukraine
Velykyi Burluk ,Russie
Makiivka,Russie
Vasylivka,Contestée
Horlivka,Russie
Dohvenke,Ukraine
Dmytrivka,Ukraine
Mikhailovka,Ukraine
Komyshuvakha,Russie
Hrushuvakha,Ukraine
Shevchenkove,Russie
Stepne,Ukraine
Borova,Contestée
