Date,Contrôle,Lieux.nom,Lieux.oblast,ID
11.08.2022,Contesté,Pisky,Donetsk,1
11.08.2022,Ukraine,Shevelivka,Kharkiv,2
11.08.2022,Ukraine,Karnaukhivka,Kharkiv,3
11.08.2022,Ukraine,Virnopillya,Kharkiv,4
11.08.2022,Ukraine,Mazanivka,Donetsk,5
11.08.2022,Ukraine,Bohorodychne,Donetsk,6
11.08.2022,Ukraine,Hryhorivka,Donetsk,7
11.08.2022,Ukraine,Serebryanka,Donetsk,8
11.08.2022,Ukraine,Sivers’k,Donetsk,9
11.08.2022,Ukraine,Verkhnokam’yans’ke,Donetsk,10
11.08.2022,Ukraine,Ivano-Dar’ivka,Donetsk,11
11.08.2022,Ukraine,Pereizne,Donetsk,12
11.08.2022,Ukraine,Vyimka,Donetsk,13
11.08.2022,Ukraine,Spirne,Donetsk,14
11.08.2022,Ukraine,Vesele,Donetsk,15
11.08.2022,Ukraine,Yakovlivka,Donetsk,16
11.08.2022,Ukraine,Soledar,Donetsk,17
11.08.2022,Ukraine,Bakhmuts’ke,Donetsk,18
11.08.2022,Ukraine,Bakhmut,Donetsk,19
11.08.2022,Ukraine,Vesela Dolyna,Donetsk,20
11.08.2022,Ukraine,Zaytseve,Donetsk,21
11.08.2022,Contesté,Vershyna,Donetsk,22
11.08.2022,Ukraine,Kostyantynivka,Donetsk,23
11.08.2022,Ukraine,Dacha,Donetsk,24
11.08.2022,Ukraine,Oleksandrivka,Kherson,25
11.08.2022,Russie,Stanislav,Kherson,26
11.08.2022,Ukraine,Doslidne,Kherson,27
11.08.2022,Ukraine,Myrne,Kherson,28
11.08.2022,Ukraine,Parysheve,Kherson,29
11.08.2022,Abandonné,Pravdyne,Kherson,30
11.08.2022,Abandonné,Kyselivka,Kherson,31
11.08.2022,Russie,Klapaya,Kherson,32
11.08.2022,Russie,Kruti Yar,Kherson,33
11.08.2022,Russie,Chornobaivka,Kherson,34
11.08.2022,Contesté,Novopetrivka,Kherson,36
11.08.2022,Ukraine,Partizanske,Mykolaiv,37
11.08.2022,Russie,Snihurivka,Mykolaiv,38
11.08.2022,,,,39
11.08.2022,Ukraine,Udy,Kharkiv,40
11.08.2022,Ukraine,Husarivka,Kharkiv,41
