Nom;Coordonnées;Statut
Antonovsky;46.670151962281054, 32.720058407850715;Hors service
Antonivsky – ferroviaire;46.67578845513662, 32.79641558254504;Endommagé
Nova Kakhovka;46.77892279977323, 33.368977790768064;Endommagé
Darivka;46.74340231986157, 32.8113509578478;Hors service
Oleksandrivka;46.84655211227714, 32.77245857345237;En service
Barativka;46.94619214323281, 32.787368065726675;En service
Novovasylivka;47.01039998304538, 32.8002677498706;Endommagé
Snihurivka;47.08671550463859, 32.84307685400229;Hors service
Bobrovyi Kut;47.10219196549323, 32.95502216769939;Négligeable
Halahanivka;46.89940817228961, 32.82462613069784;Hors service
